Var1,Var2,Var3,Var4,Var5
0,0,0,0,0
0.2,0,0,0,0
0.4,0,0,0,0
0.6,0,0,0,0
0.8,0,0,0,0
1,0,0,0,0
1.2,0,0,0,0
1.4,0,0,0,0
1.6,0,0,0,0
1.8,0,0,0,0
2,0,0,0,0
2.00002914094642,7.28523660387114e-05,1.73591533638799e-09,7.28523660387114e-05,5.26560528699997e-07
2.00005828189283,0.000145704732077423,7.71721462566365e-09,0.000145704732077423,2.34090799211836e-06
2.00020398662491,0.00050996656227209,1.01280652626077e-07,0.00050996656227209,3.07234603824317e-05
2.0009325102853,0.00233127571324543,2.15788781233176e-06,0.00233127571324543,0.000654744220838353
2.00457512858724,0.0114378214681099,5.18331049939446e-05,0.0114378214681099,0.0157450504289375
2.01778604606974,0.03,0.000742776781522104,0.03,0.226575938081931
2.02824348259731,0.03,0.00153776137257182,0.03,0.471004415720571
2.03870091912488,0.03,0.00228143564657032,0.03,0.701955400369748
2.05259057040225,0.0185235739943856,0.00318217269429724,0.0185235739943856,0.985109382452346
2.06648022167961,0,0.00355896592928864,0,1.11138428155575
2.07805065801266,0,0.00351672985604873,0,1.10826315456571
2.08921406244648,0,0.00347101008946191,0,1.10310417401389
2.14503108461559,0,0.00318625494839698,0,1.05130374962818
2.31112954683413,0,0.00213713308968525,0,0.765557929483336
2.37827050161917,0,0.00173861272371354,0,0.638124640427697
2.41468904449478,0,0.00166898481167602,0,0.584976159047044
2.4511075873704,0,0.00257808264295623,0,0.634540625107045
2.47052893702126,0,0.00268736854766999,0,0.625090895284997
2.48995028667212,0,0.00227185776732464,0,0.56281131447588
2.50571130503784,0,0.00196720064444233,0,0.515578505987601
2.58451639686644,0,0.000811335950707912,0,0.319664328942878
2.78432995019874,0,-0.00037064388245544,0,0.0494887786958212
2.79487991336253,0,-0.000391947484752852,0,0.0416947142173481
2.80542987652631,0,-0.00039104480560557,0,0.0323923839448102
2.81569335524409,0,-0.000172378531838582,0,0.00188947046772728
2.83040250219024,0,0.000481912840506541,0,-0.0758272219591121
2.8540915768263,0,0.00152613970689952,0,-0.199395118878675
2.87464697056031,0,0.00169717531287684,0,-0.231035614113498
2.89176475005107,0,0.00142084746459807,0,-0.213136485012324
2.90723456396219,0,0.00119495685239142,0,-0.19782475260988
2.9845836335178,0,0.000350325837692156,0,-0.132670875775543
3.18344634539014,0,-0.000456433992068815,0,-0.0344151502597178
3.19412454324673,0,-0.000467822640255479,0,-0.0312704693335867
3.20480274110332,0,-0.000461711314485665,0,-0.0330145925103784
3.21561259819064,0,-0.000234644936878009,0,-0.101700533197478
3.2297657922777,0,0.000403412147074543,0,-0.296207197505855
3.25296348692269,0,0.00145141729947986,0,-0.61985810887939
3.2709566962287,0,0.0016771854553629,0,-0.694677036570763
3.28894990553472,0,0.00143322657556131,0,-0.625187193918805
3.30414383914443,0,0.00124610195508126,0,-0.570376221402749
3.38011350719299,0,0.000529631751216466,0,-0.344045565176849
3.58011350719299,0,-0.000238640611055188,0,-0.029666856924478
3.78011350719299,0,-0.000304252477694157,0,0.057523433444698
3.98011350719299,0,-0.000203570010040948,0,0.0582137463380485
4.18011350719299,0,-0.000107042553257481,0,0.0375837064784624
4.38011350719299,0,-4.74944511042933e-05,0,0.019130017837527
4.58011350719299,0,-1.77008457228385e-05,0,0.00779955760385764
4.78011350719299,0,-5.06395113422812e-06,0,0.00225257869844763
4.98011350719299,0,-6.19042602848553e-07,0,9.63990794791818e-05
5.18011350719299,0,5.09284588845861e-07,0,-0.000463345121627884
5.38011350719299,0,5.46187346266896e-07,0,-0.000434173020889432
5.58011350719299,0,3.49130260999768e-07,0,-0.000271947473706835
5.78011350719299,0,1.78663945744149e-07,0,-0.000135265386764551
5.98011350719299,0,7.73861117053449e-08,0,-5.36392376895764e-05
6.18011350719299,0,2.79836487087068e-08,0,-1.45890423326398e-05
6.38011350719299,0,7.54157021085193e-09,0,1.3691181026468e-07
6.580113507193,0,5.94680945249792e-10,0,3.67563560176578e-06
6.780113507193,0,-1.02918037908986e-09,0,3.22455740096929e-06
6.980113507193,0,-9.71377034802252e-10,0,1.96261427085438e-06
7.180113507193,0,-5.96020319968387e-10,0,9.53981239058682e-07
7.380113507193,0,-2.9715132671812e-10,0,3.67419040194603e-07
7.580113507193,0,-1.25610972876834e-10,0,9.32476813913833e-08
7.780113507193,0,-4.39803047495192e-11,0,-6.862749106789e-09
7.980113507193,0,-1.10483403979692e-11,0,-2.88004669285038e-08
8.180113507193,0,-2.69225732354157e-13,0,-2.38554468173471e-08
8.38011350719299,0,2.00574945963137e-12,0,-1.41277920591559e-08
8.58011350719299,0,1.71363571830731e-12,0,-6.71039034270071e-09
8.78011350719299,0,1.01310562635383e-12,0,-2.50586820678397e-09
8.98011350719299,0,4.92485601739465e-13,0,-5.86253600018638e-10
9.18011350719299,0,2.03081551197861e-13,0,9.08689505985785e-11
9.38011350719299,0,6.86713864324414e-14,0,2.23369174388793e-10
9.58011350719299,0,1.5848972652259e-14,0,1.75845947287226e-10
9.78011350719299,0,-7.39519476438116e-16,0,1.01442944133643e-10
9.98011350719299,0,-3.80857115091038e-15,0,4.70735124082259e-11
10,0,-3.81396689989536e-15,0,4.30893076533213e-11
